product_id,product_name,category,sub_category,profit
OFF-AVE-10004512,"Avery Hole Reinforcements, Economy",Office Supplies,Binders,9.2928
OFF-AVE-10002892,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,19.1808
OFF-AVE-10002892,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,53.2608
OFF-BI-10000340,"Avery Binding Machine, Clear",Office Supplies,Binders,9.8418
OFF-BI-10003899,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,10.6428
OFF-AVE-10002892,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,9.3312
OFF-BI-10000305,"Cardinal 3-Hole Punch, Durable",Office Supplies,Binders,23.0864
OFF-BI-10003142,"Acco Binder Covers, Clear",Office Supplies,Binders,5.778
OFF-BI-10003142,"Acco Binder Covers, Clear",Office Supplies,Binders,9.3312
OFF-BI-10003899,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,16.032
OFF-BI-10001304,"Cardinal 3-Hole Punch, Recycled",Office Supplies,Binders,5.778
OFF-BI-10000280,"Ibico Hole Reinforcements, Economy",Office Supplies,Binders,11.556
OFF-AVE-10002892,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,3.1104
OFF-BI-10003899,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,52.532
OFF-BI-10000280,"Ibico Hole Reinforcements, Economy",Office Supplies,Binders,13.482
OFF-BI-10000280,"Ibico Hole Reinforcements, Economy",Office Supplies,Binders,180.7659
OFF-BI-10003142,"Acco Binder Covers, Clear",Office Supplies,Binders,68.9631
OFF-BI-10004830,"Ibico Index Tab, Clear",Office Supplies,Binders,9.3312
OFF-BI-10003899,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,31.5192
OFF-BI-10004830,"Ibico Index Tab, Clear",Office Supplies,Binders,8.991
OFF-BI-10002523,"Wilson Jones Index Tab, Economy",Office Supplies,Binders,8.7906
OFF-AVE-10004512,"Avery Hole Reinforcements, Economy",Office Supplies,Binders,21.7728
OFF-BI-10003899,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,6.1548
OFF-BI-10001304,"Cardinal 3-Hole Punch, Recycled",Office Supplies,Binders,15.552
OFF-BI-10000389,"Ibico Binding Machine, Clear",Office Supplies,Binders,15.552
OFF-BI-10003899,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,15.408
OFF-BI-10003899,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,3.5767
OFF-BI-10000280,"Ibico Hole Reinforcements, Economy",Office Supplies,Binders,73.5448
OFF-AVE-10004512,"Avery Hole Reinforcements, Economy",Office Supplies,Binders,5.123
OFF-BI-10000280,"Ibico Hole Reinforcements, Economy",Office Supplies,Binders,16.6568
OFF-BI-10004830,"Ibico Index Tab, Clear",Office Supplies,Binders,9.6192
OFF-BI-10000389,"Ibico Binding Machine, Clear",Office Supplies,Binders,11.2308
OFF-BI-10000280,"Ibico Hole Reinforcements, Economy",Office Supplies,Binders,150.984
OFF-BI-10001400,"Cardinal 3-Hole Punch, Economy",Office Supplies,Binders,56.9772
OFF-AVE-10004512,"Avery Hole Reinforcements, Economy",Office Supplies,Binders,9.3312
OFF-BI-10000389,"Ibico Binding Machine, Clear",Office Supplies,Binders,19.8254
OFF-AVE-10002892,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,12.4416
OFF-AVE-10004512,"Avery Hole Reinforcements, Economy",Office Supplies,Binders,50.328
OFF-BI-10003899,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,18.6624
OFF-AVE-10004512,"Avery Hole Reinforcements, Economy",Office Supplies,Binders,69.705
OFF-AVE-10004512,"Avery Hole Reinforcements, Economy",Office Supplies,Binders,16.848
OFF-BI-10000340,"Avery Binding Machine, Clear",Office Supplies,Binders,13.32
OFF-AVE-10004512,"Avery Hole Reinforcements, Economy",Office Supplies,Binders,13.5072
OFF-BI-10001304,"Cardinal 3-Hole Punch, Recycled",Office Supplies,Binders,8.763
OFF-BI-10000389,"Ibico Binding Machine, Clear",Office Supplies,Binders,15.824
OFF-BI-10000389,"Ibico Binding Machine, Clear",Office Supplies,Binders,7.065
OFF-BI-10004080,"Wilson Jones 3-Hole Punch, Economy",Office Supplies,Binders,12.4416
OFF-BI-10003899,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,6.2208
OFF-BI-10000340,"Avery Binding Machine, Clear",Office Supplies,Binders,11.5432
OFF-AVE-10004512,"Avery Hole Reinforcements, Economy",Office Supplies,Binders,100.4255
