order_id,product_name,sales,quantity,profit,product_id
HU-2011-1380,"Eaton Note Cards, Premium",53,2,0,OFF-AVE-10004512
MX-2011-116246,"Elite Shears, Serrated",58,2,0,OFF-AVE-10002892
SO-2011-2000,"Avery 3-Hole Punch, Recycled",56,2,0,OFF-AVE-10002892
IN-2011-83940,"SanDisk Computer Printout Paper, 8.5 x 11",68,2,0,OFF-BI-10000340
ES-2011-5268439,"Avery 3-Hole Punch, Recycled",56,2,0,OFF-BI-10003899
TZ-2011-150,"Binney & Smith Pens, Easy-Erase",24,2,0,OFF-AVE-10002892
RW-2011-6600,"Kleencut Shears, Easy Grip",97,2,0,OFF-BI-10000305
CA-2011-169642,"SAFCO Commercial Wire Shelving, Black",276,2,0,OFF-BI-10003142
MX-2011-162999,"Smead Legal Exhibit Labels, Laser Printer Compatible",15,2,0,OFF-BI-10003142
UP-2011-6100,"Eldon Shelving, Single Width",97,2,0,OFF-BI-10003899
MZ-2011-2490,"Stanley Markers, Easy-Erase",45,2,0,OFF-BI-10001304
ES-2011-2619050,"Avery 3-Hole Punch, Recycled",56,2,0,OFF-BI-10000280
EG-2011-9920,"Sanford Canvas, Water Color",107,2,0,OFF-AVE-10002892
ES-2011-1941919,"Smead Box, Blue",22,2,0,OFF-BI-10003899
US-2011-151925,"Leather Task Chair, Black",146,2,0,OFF-BI-10000280
MX-2011-156727,"Fellowes Shelving, Blue",77,2,0,OFF-BI-10000280
IR-2011-3500,"Deflect-O Photo Frame, Duo Pack",104,2,0,OFF-BI-10003142
IN-2011-18959,"SanDisk Memory Card, Programmable",228,2,0,OFF-BI-10004830
IZ-2011-8780,"Advantus Thumb Tacks, Bulk Pack",27,2,0,OFF-BI-10003899
ES-2011-3717351,"Avery 3-Hole Punch, Recycled",56,2,0,OFF-BI-10004830
MX-2011-155726,"Ibico Hole Reinforcements, Economy",9,2,0,OFF-BI-10002523
IN-2011-76758,"Acco Binder Covers, Clear",26,2,0,OFF-AVE-10004512
PL-2011-9920,"Advantus Thumb Tacks, Bulk Pack",27,2,0,OFF-BI-10003899
ES-2011-5335590,"Boston Markers, Water Color",59,2,0,OFF-BI-10001304
SF-2011-9030,"Hamilton Beach Blender, Silver",142,2,0,OFF-BI-10000389
ES-2011-3394310,"HP Fax Machine, Digital",599,2,0,OFF-BI-10003899
CA-2011-136567,"SAFCO Commercial Wire Shelving, 72h",122,2,0,OFF-BI-10003899
AG-2011-4560,"Deflect-O Photo Frame, Duo Pack",104,2,0,OFF-BI-10000280
IN-2011-53203,"SanDisk Mouse, USB",77,2,0,OFF-AVE-10004512
ES-2011-5220738,"Sanford Canvas, Water Color",107,2,0,OFF-BI-10000280
MX-2011-115329,"Ibico Index Tab, Clear",11,2,0,OFF-BI-10004830
IR-2011-4770,"GlobeWeis Peel and Seal, Set of 50",43,2,0,OFF-BI-10000389
ES-2012-2393484,"Boston Markers, Water Color",59,2,0,OFF-BI-10000280
ES-2012-3868505,"Sanford Canvas, Water Color",107,2,0,OFF-BI-10001400
IZ-2012-6570,"Boston Sketch Pad, Fluorescent",100,2,0,OFF-AVE-10004512
IZ-2012-3500,"Smead Box, Blue",22,2,0,OFF-BI-10000389
ES-2012-5307098,"Rubbermaid Stacking Tray, Erganomic",44,2,0,OFF-AVE-10002892
CG-2012-5580,"Enermax Parchment Paper, Premium",31,2,0,OFF-AVE-10004512
ES-2012-3412393,"Smead Box, Blue",22,2,0,OFF-BI-10003899
IN-2012-30117,"Dania 3-Shelf Cabinet, Mobile",288,2,0,OFF-AVE-10004512
CA-2012-9170,"Cuisinart Microwave, Silver",558,2,0,OFF-AVE-10004512
MX-2012-146115,"Deflect-O Door Stop, Black",59,2,0,OFF-BI-10000340
KG-2012-2770,"Avery Hole Reinforcements, Economy",9,2,0,OFF-AVE-10004512
SA-2012-2120,"Eldon Shelving, Single Width",97,2,0,OFF-BI-10001304
MX-2012-132549,"Accos Paper Clips, Assorted Sizes",15,2,0,OFF-BI-10000389
ES-2012-5630828,"Eldon Shelving, Single Width",97,2,0,OFF-BI-10000389
IN-2012-42045,"BIC Highlighters, Water Color",44,2,0,OFF-BI-10004080
IN-2012-13037,"SanDisk Computer Printout Paper, 8.5 x 11",68,2,0,OFF-BI-10003899
IN-2012-47008,"Ibico Binding Machine, Clear",102,2,0,OFF-BI-10000340
ES-2012-1465491,"Stanley Markers, Easy-Erase",45,2,0,OFF-AVE-10004512
MX-2012-144750,"Belkin Router, Erganomic",342,2,0,OFF-BI-10001304
US-2012-131030,"SAFCO Steel Folding Chair, Adjustable",71,2,0,OFF-AVE-10002892
CA-2012-142993,"Contico 72""H Heavy-Duty Storage System",82,2,0,OFF-AVE-10002892
MX-2012-132997,"Boston Pencil Sharpener, Water Color",43,2,0,OFF-BI-10000280
UP-2012-5960,"Eldon Shelving, Single Width",97,2,0,OFF-BI-10000280
MX-2012-133165,"Ibico Hole Reinforcements, Economy",9,2,0,OFF-BI-10002558
RS-2012-4390,"Boston Markers, Water Color",59,2,0,OFF-BI-10001304
IN-2012-60714,"Boston Pens, Blue",28,2,0,OFF-BI-10001249
IN-2012-18868,"Sharp Personal Copier, Laser",151,2,0,OFF-BI-10003899
MX-2012-113474,"Accos Thumb Tacks, 12 Pack",17,2,0,OFF-BI-10002412
CA-2012-130736,"Alliance Big Bands Rubber Bands, 12/Pack",4,2,0,OFF-BI-10003899
